"행정구역","2012년_총인구수","2012년_세대수","2012년_세대당 인구","2012년_남자 인구수","2012년_여자 인구수","2012년_남여 비율","2013년_총인구수","2013년_세대수","2013년_세대당 인구","2013년_남자 인구수","2013년_여자 인구수","2013년_남여 비율","2014년_총인구수","2014년_세대수","2014년_세대당 인구","2014년_남자 인구수","2014년_여자 인구수","2014년_남여 비율","2015년_총인구수","2015년_세대수","2015년_세대당 인구","2015년_남자 인구수","2015년_여자 인구수","2015년_남여 비율","2016년_총인구수","2016년_세대수","2016년_세대당 인구","2016년_남자 인구수","2016년_여자 인구수","2016년_남여 비율","2017년_총인구수","2017년_세대수","2017년_세대당 인구","2017년_남자 인구수","2017년_여자 인구수","2017년_남여 비율","2018년_총인구수","2018년_세대수","2018년_세대당 인구","2018년_남자 인구수","2018년_여자 인구수","2018년_남여 비율","2019년_총인구수","2019년_세대수","2019년_세대당 인구","2019년_남자 인구수","2019년_여자 인구수","2019년_남여 비율","2020년_총인구수","2020년_세대수","2020년_세대당 인구","2020년_남자 인구수","2020년_여자 인구수","2020년_남여 비율","2021년_총인구수","2021년_세대수","2021년_세대당 인구","2021년_남자 인구수","2021년_여자 인구수","2021년_남여 비율"
"전국  (1000000000)","50,948,272","20,211,770","          2.52","25,504,060","25,444,212","          1.00","51,141,463","20,456,588","          2.50","25,588,336","25,553,127","          1.00","51,327,916","20,724,094","          2.48","25,669,296","25,658,620","          1.00","51,529,338","21,011,152","          2.45","25,758,186","25,771,152","          1.00","51,696,216","21,294,009","          2.43","25,827,594","25,868,622","          1.00","51,778,544","21,632,851","          2.39","25,855,919","25,922,625","          1.00","51,826,059","22,042,947","          2.35","25,866,129","25,959,930","          1.00","51,849,861","22,481,466","          2.31","25,864,816","25,985,045","          1.00","51,829,023","23,093,108","          2.24","25,841,029","25,987,994","          0.99","51,638,809","23,472,895","          2.20","25,746,684","25,892,125","          0.99"
"서울특별시  (1100000000)","10,195,318","4,177,970","          2.44","5,041,336","5,153,982","          0.98","10,143,645","4,182,351","          2.43","5,007,869","5,135,776","          0.98","10,103,233","4,194,176","          2.41","4,979,768","5,123,465","          0.97","10,022,181","4,189,948","          2.39","4,930,943","5,091,238","          0.97","9,930,616","4,189,839","          2.37","4,876,789","5,053,827","          0.96","9,857,426","4,220,082","          2.34","4,830,206","5,027,220","          0.96","9,765,623","4,263,868","          2.29","4,773,899","4,991,724","          0.96","9,729,107","4,327,605","          2.25","4,744,059","4,985,048","          0.95","9,668,465","4,417,954","          2.19","4,701,723","4,966,742","          0.95","9,509,458","4,426,007","          2.15","4,618,040","4,891,418","          0.94"
"부산광역시  (2600000000)","3,538,484","1,389,526","          2.55","1,754,479","1,784,005","          0.98","3,527,635","1,404,663","          2.51","1,747,000","1,780,635","          0.98","3,519,401","1,421,648","          2.48","1,740,417","1,778,984","          0.98","3,513,777","1,437,818","          2.44","1,735,570","1,778,207","          0.98","3,498,529","1,451,270","          2.41","1,725,607","1,772,922","          0.97","3,470,653","1,467,555","          2.36","1,709,508","1,761,145","          0.97","3,441,453","1,480,468","          2.32","1,692,421","1,749,032","          0.97","3,413,841","1,497,908","          2.28","1,675,417","1,738,424","          0.96","3,391,946","1,530,431","          2.22","1,661,000","1,730,946","          0.96","3,350,380","1,544,663","          2.17","1,639,044","1,711,336","          0.96"
"대구광역시  (2700000000)","2,505,644","948,652","          2.64","1,249,320","1,256,324","          0.99","2,501,588","960,265","          2.61","1,246,071","1,255,517","          0.99","2,493,264","970,618","          2.57","1,241,119","1,252,145","          0.99","2,487,829","982,360","          2.53","1,237,291","1,250,538","          0.99","2,484,557","994,220","          2.50","1,234,169","1,250,388","          0.99","2,475,231","1,006,753","          2.46","1,227,814","1,247,417","          0.98","2,461,769","1,021,266","          2.41","1,219,342","1,242,427","          0.98","2,438,031","1,031,251","          2.36","1,205,286","1,232,745","          0.98","2,418,346","1,056,627","          2.29","1,193,109","1,225,237","          0.97","2,385,412","1,063,893","          2.24","1,175,632","1,209,780","          0.97"
"인천광역시  (2800000000)","2,843,981","1,097,491","          2.59","1,431,593","1,412,388","          1.01","2,879,782","1,118,988","          2.57","1,448,835","1,430,947","          1.01","2,902,608","1,136,280","          2.55","1,459,074","1,443,534","          1.01","2,925,815","1,154,004","          2.54","1,469,869","1,455,946","          1.01","2,943,069","1,171,399","          2.51","1,477,671","1,465,398","          1.01","2,948,542","1,188,917","          2.48","1,479,597","1,468,945","          1.01","2,954,642","1,213,201","          2.44","1,481,844","1,472,798","          1.01","2,957,026","1,238,641","          2.39","1,482,249","1,474,777","          1.01","2,942,828","1,267,956","          2.32","1,473,943","1,468,885","          1.00","2,948,375","1,298,647","          2.27","1,476,373","1,472,002","          1.00"
"광주광역시  (2900000000)","1,469,216","555,538","          2.64","728,406","740,810","          0.98","1,472,910","563,599","          2.61","730,216","742,694","          0.98","1,475,884","573,043","          2.58","731,339","744,545","          0.98","1,472,199","580,427","          2.54","729,662","742,537","          0.98","1,469,214","586,464","          2.51","728,137","741,077","          0.98","1,463,770","592,818","          2.47","725,295","738,475","          0.98","1,459,336","603,107","          2.42","722,581","736,755","          0.98","1,456,468","616,485","          2.36","720,740","735,728","          0.98","1,450,062","633,582","          2.29","717,348","732,714","          0.98","1,441,611","645,712","          2.23","713,015","728,596","          0.98"
"대전광역시  (3000000000)","1,524,583","575,600","          2.65","763,671","760,912","          1.00","1,532,811","584,877","          2.62","767,309","765,502","          1.00","1,531,809","592,508","          2.59","766,497","765,312","          1.00","1,518,775","597,008","          2.54","759,778","758,997","          1.00","1,514,370","606,137","          2.50","757,289","757,081","          1.00","1,502,227","614,639","          2.44","750,969","751,258","          1.00","1,489,936","624,965","          2.38","744,338","745,598","          1.00","1,474,870","635,343","          2.32","736,607","738,263","          1.00","1,463,882","652,783","          2.24","730,699","733,183","          1.00","1,452,251","664,417","          2.19","724,626","727,625","          1.00"
"울산광역시  (3100000000)","1,147,256","422,177","          2.72","590,424","556,832","          1.06","1,156,480","431,595","          2.68","595,319","561,161","          1.06","1,166,377","442,250","          2.64","600,904","565,473","          1.06","1,173,534","451,688","          2.60","604,889","568,645","          1.06","1,172,304","455,352","          2.57","603,797","568,507","          1.06","1,165,132","458,547","          2.54","599,480","565,652","          1.06","1,155,623","461,756","          2.50","593,819","561,804","          1.06","1,148,019","468,659","          2.45","589,712","558,307","          1.06","1,136,017","476,893","          2.38","583,708","552,309","          1.06","1,121,592","482,650","          2.32","576,217","545,375","          1.06"
"세종특별자치시  (3600000000)","113,117","46,592","          2.43","57,633","55,484","          1.04","122,153","50,045","          2.44","62,205","59,948","          1.04","156,125","62,807","          2.49","78,862","77,263","          1.02","210,884","81,806","          2.58","105,752","105,132","          1.01","243,048","94,343","          2.58","121,505","121,543","          1.00","280,100","109,490","          2.56","139,734","140,366","          1.00","314,126","123,762","          2.54","156,831","157,295","          1.00","340,575","135,408","          2.52","169,845","170,730","          0.99","355,831","144,275","          2.47","177,568","178,263","          1.00","371,895","153,649","          2.42","185,678","186,217","          1.00"
"경기도  (4100000000)","12,093,299","4,639,665","          2.61","6,091,035","6,002,264","          1.01","12,234,630","4,712,324","          2.60","6,159,193","6,075,437","          1.01","12,357,830","4,786,718","          2.58","6,219,813","6,138,017","          1.01","12,522,606","4,885,012","          2.56","6,299,812","6,222,794","          1.01","12,716,780","5,003,406","          2.54","6,395,453","6,321,327","          1.01","12,873,895","5,131,379","          2.51","6,475,323","6,398,572","          1.01","13,077,153","5,306,214","          2.46","6,577,501","6,499,652","          1.01","13,239,666","5,468,920","          2.42","6,659,995","6,579,671","          1.01","13,427,014","5,676,401","          2.37","6,754,469","6,672,545","          1.01","13,565,450","5,841,995","          2.32","6,827,298","6,738,152","          1.01"
