"행정구역","2018년_총인구수","2018년_세대수","2018년_세대당 인구","2018년_남자 인구수","2018년_여자 인구수","2018년_남여 비율","2019년_총인구수","2019년_세대수","2019년_세대당 인구","2019년_남자 인구수","2019년_여자 인구수","2019년_남여 비율","2020년_총인구수","2020년_세대수","2020년_세대당 인구","2020년_남자 인구수","2020년_여자 인구수","2020년_남여 비율","2021년_총인구수","2021년_세대수","2021년_세대당 인구","2021년_남자 인구수","2021년_여자 인구수","2021년_남여 비율","2022년_총인구수","2022년_세대수","2022년_세대당 인구","2022년_남자 인구수","2022년_여자 인구수","2022년_남여 비율","2023년_총인구수","2023년_세대수","2023년_세대당 인구","2023년_남자 인구수","2023년_여자 인구수","2023년_남여 비율","2024년_총인구수","2024년_세대수","2024년_세대당 인구","2024년_남자 인구수","2024년_여자 인구수","2024년_남여 비율"
"대전광역시  (3000000000)","1,489,936","624,965","          2.38","744,338","745,598","          1.00","1,474,870","635,343","          2.32","736,607","738,263","          1.00","1,463,882","652,783","          2.24","730,699","733,183","          1.00","1,452,251","664,417","          2.19","724,626","727,625","          1.00","1,446,072","673,429","          2.15","721,245","724,827","          1.00","1,442,216","680,261","          2.12","719,292","722,924","          0.99","1,439,157","687,757","          2.09","717,291","721,866","          0.99"
"대전광역시 대전광역시 동구 (3011000000)","229,071","102,632","          2.23","115,735","113,336","          1.02","226,771","104,064","          2.18","114,447","112,324","          1.02","223,021","105,729","          2.11","112,416","110,605","          1.02","222,222","107,832","          2.06","111,953","110,269","          1.02","219,751","108,640","          2.02","110,590","109,161","          1.01","217,628","108,996","          2.00","109,555","108,073","          1.01","218,513","110,878","          1.97","109,950","108,563","          1.01"
"대전광역시 대전광역시 중구 (3014000000)","244,421","105,270","          2.32","121,056","123,365","          0.98","240,473","106,379","          2.26","118,864","121,609","          0.98","235,550","107,626","          2.19","116,233","119,317","          0.97","230,341","107,609","          2.14","113,507","116,834","          0.97","227,108","107,692","          2.11","111,703","115,405","          0.97","223,256","106,885","          2.09","109,626","113,630","          0.96","225,008","108,358","          2.08","110,338","114,670","          0.96"
"대전광역시 대전광역시 서구 (3017000000)","484,663","199,689","          2.43","238,678","245,985","          0.97","481,222","203,754","          2.36","236,851","244,371","          0.97","477,880","209,931","          2.28","235,112","242,768","          0.97","473,365","213,592","          2.22","232,714","240,651","          0.97","470,374","216,539","          2.17","230,998","239,376","          0.97","464,634","217,305","          2.14","228,024","236,610","          0.96","457,951","217,245","          2.11","224,447","233,504","          0.96"
"대전광역시 대전광역시 유성구 (3020000000)","349,790","141,533","          2.47","176,412","173,378","          1.02","349,373","145,305","          2.40","176,415","172,958","          1.02","351,047","151,292","          2.32","177,240","173,807","          1.02","351,277","155,450","          2.26","177,463","173,814","          1.02","356,093","160,305","          2.22","180,166","175,927","          1.02","366,845","166,767","          2.20","185,786","181,059","          1.03","369,468","170,225","          2.17","187,149","182,319","          1.03"
"대전광역시 대전광역시 대덕구 (3023000000)","181,991","75,841","          2.40","92,457","89,534","          1.03","177,031","75,841","          2.33","90,030","87,001","          1.03","176,384","78,205","          2.26","89,698","86,686","          1.03","175,046","79,934","          2.19","88,989","86,057","          1.03","172,746","80,253","          2.15","87,788","84,958","          1.03","169,853","80,308","          2.12","86,301","83,552","          1.03","168,217","81,051","          2.08","85,407","82,810","          1.03"
